City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bandarbeyla,9.49,50.81,79.56,74,59,27.07,SO,06/21/20
Egvekinot,66.32,-179.17,62.8,40,25,5.03,RU,06/21/20
Gizo Government Station,-8.1,156.84,84.22,69,23,4.97,SB,06/21/20
Pyryatyn,50.24,32.51,65.34,95,61,11.1,UA,06/21/20
Shache,38.42,77.24,71.58,19,0,6.67,CN,06/21/20
Berlevåg,70.86,29.09,45.43,79,30,12.71,NO,06/21/20
Walvis Bay,-22.96,14.51,57.0,66,27,3.36,NA,06/21/20
Lianzhou,24.78,112.38,81.41,83,100,4.56,CN,06/21/20
Luau,-10.71,22.22,52.92,49,0,4.05,AO,06/21/20
Muhafazat Lahij,13.17,44.58,88.41,51,7,3.33,YE,06/21/20
Saint-Pierre,-21.34,55.48,68.0,68,47,8.05,RE,06/21/20
Petropavlovsk-Kamchatskiy,53.05,158.65,68.0,42,73,6.71,RU,06/21/20
Ptichye,45.52,41.71,64.4,88,20,11.18,RU,06/21/20
Tete,-16.16,33.59,60.69,62,0,2.15,MZ,06/21/20
São Filipe,14.9,-24.5,76.93,81,9,9.73,CV,06/21/20
Evensk,61.95,159.23,67.26,47,93,2.04,RU,06/21/20
Tumaco,1.8,-78.82,77.41,89,77,9.22,CO,06/21/20
Kaili,-3.46,120.21,72.27,90,62,1.48,ID,06/21/20
Paços de Brandão,40.98,-8.58,66.99,98,1,3.0,PT,06/21/20
Nhulunbuy,-12.23,136.77,80.64,65,2,15.68,AU,06/21/20
Pochutla,15.74,-96.47,87.01,66,66,4.0,MX,06/21/20
Kutum,14.2,24.67,74.57,18,0,8.77,SD,06/21/20
Alta Floresta,-9.88,-56.09,74.07,64,9,3.71,BR,06/21/20
Boende,-0.22,20.87,73.99,65,13,1.9,CD,06/21/20
Sept-Îles,50.2,-66.38,54.0,93,90,10.29,CA,06/21/20
Gamba,-2.65,10.0,71.24,95,2,4.12,GA,06/21/20
Yelniki,54.62,43.88,47.73,85,43,4.09,RU,06/21/20
Zima,53.92,102.04,64.63,64,44,3.78,RU,06/21/20
Río Esteban,15.83,-86.3,84.04,72,35,12.77,HN,06/21/20
Agirish,61.92,63.02,43.43,89,88,7.7,RU,06/21/20
La Santisima Trinidad,-14.83,-64.9,78.1,69,46,3.53,BO,06/21/20
La Palma,33.85,-118.05,82.0,50,1,6.93,US,06/21/20
Talisayan,6.99,121.93,80.6,88,40,3.36,PH,06/21/20
Taoudenni,22.68,-3.98,103.62,9,30,19.22,ML,06/21/20
Majene,-3.54,118.97,79.99,80,50,12.46,ID,06/21/20
Churapcha,62.0,132.43,67.46,39,15,6.85,RU,06/21/20
Wanaka,-44.7,169.15,35.01,84,19,1.99,NZ,06/21/20
Elko,41.0,-115.5,87.8,12,1,14.99,US,06/21/20
Lavrentiya,65.58,-171.0,59.18,43,6,8.77,RU,06/21/20
Monforte de Lemos,42.52,-7.51,59.0,89,0,0.74,ES,06/21/20
Parlier,36.61,-119.53,96.8,19,1,8.75,US,06/21/20
Port Macquarie,-31.43,152.92,57.0,91,0,7.92,AU,06/21/20
Kingston,18.0,-76.79,86.0,74,20,25.28,JM,06/21/20
Ponta do Sol,32.67,-17.1,69.8,68,40,18.34,PT,06/21/20
Ucluelet,48.93,-125.55,60.01,67,75,10.29,CA,06/21/20
Viedma,-40.81,-63.0,47.5,52,46,7.94,AR,06/21/20
College,64.86,-147.8,53.6,87,90,9.17,US,06/21/20
Pangnirtung,66.15,-65.71,48.79,57,17,2.82,CA,06/21/20
Pringsewu,-5.36,104.97,74.71,90,81,0.94,ID,06/21/20
Woodward,36.43,-99.39,86.0,48,1,12.75,US,06/21/20
City of San Pedro,14.35,121.02,88.0,74,20,3.36,PH,06/21/20
Vila Velha,-20.33,-40.29,71.01,88,0,3.36,BR,06/21/20
Elizabeth City,36.29,-76.25,79.0,78,1,8.05,US,06/21/20
Seoul,37.57,126.98,82.4,61,0,3.36,KR,06/21/20
Kitgum,3.28,32.89,63.95,94,5,1.34,UG,06/21/20
Vao,-22.67,167.48,69.49,62,17,9.66,NC,06/21/20
Laizhou,37.18,119.93,75.88,58,83,8.99,CN,06/21/20
Mulegé,26.88,-111.98,91.17,39,0,7.58,MX,06/21/20
Holme,56.11,10.17,60.01,93,81,3.15,DK,06/21/20
Honningsvåg,70.98,25.97,44.91,86,96,10.4,NO,06/21/20
Kirksville,40.19,-92.58,82.99,65,1,8.05,US,06/21/20
Abhā,18.22,42.51,68.0,63,84,4.7,SA,06/21/20
Suruç,36.98,38.42,68.0,64,0,5.82,TR,06/21/20
Havøysund,71.0,24.66,42.8,87,20,8.05,NO,06/21/20
Shimoda,34.67,138.95,69.8,94,75,24.16,JP,06/21/20
Harper,4.38,-7.72,76.48,86,99,9.86,LR,06/21/20
Cruz Alta,-28.64,-53.61,71.6,64,0,9.17,BR,06/21/20
Lawang,-7.84,112.69,73.26,81,64,1.57,ID,06/21/20
Meulaboh,4.14,96.13,74.14,97,100,7.49,ID,06/21/20
Mackenzie,55.3,-123.17,66.2,34,90,8.05,CA,06/21/20
Bafia,4.75,11.23,67.87,97,100,1.12,CM,06/21/20
Am Timan,11.03,20.28,78.24,65,80,7.31,TD,06/21/20
São Félix do Xingu,-6.64,-51.99,72.97,76,0,2.91,BR,06/21/20
Novobirilyussy,56.95,90.67,53.08,66,38,3.24,RU,06/21/20
Rome,43.21,-75.46,86.0,42,1,4.7,US,06/21/20
Ürümqi,43.8,87.6,57.2,47,3,6.71,CN,06/21/20
Umluj,25.02,37.27,86.41,34,46,9.84,SA,06/21/20
Itupiranga,-5.13,-49.33,78.8,83,0,3.06,BR,06/21/20
Luena,-11.78,19.92,48.49,54,0,3.89,AO,06/21/20
Taft,31.75,54.21,78.8,12,0,6.93,IR,06/21/20
Abnūb,27.27,31.15,81.68,23,0,6.35,EG,06/21/20
Howard Springs,-12.5,131.05,77.0,41,0,12.75,AU,06/21/20
Palembang,-2.92,104.75,74.84,95,78,3.71,ID,06/21/20
Portmarnock,53.42,-6.14,53.01,76,72,5.82,IE,06/21/20
Bonnyville,54.27,-110.73,66.2,48,20,2.24,CA,06/21/20
Montes Altos,-5.83,-47.07,72.64,68,4,3.91,BR,06/21/20
Pandharpur,17.67,75.33,75.79,80,93,9.08,IN,06/21/20
Fare,-16.7,-151.02,77.45,82,95,23.09,PF,06/21/20
Carupano,10.67,-63.26,79.25,85,41,13.31,VE,06/21/20
Maracaçumé,-2.04,-45.96,73.74,96,97,2.46,BR,06/21/20
Ayagoz,47.97,80.44,48.02,51,0,11.45,KZ,06/21/20
Luba,3.46,8.55,77.0,80,20,4.7,GQ,06/21/20
Naze,28.37,129.48,75.2,88,75,19.46,JP,06/21/20
Nālūt,30.33,10.85,72.9,29,0,8.12,LY,06/21/20
Mezhova,48.25,36.73,63.39,90,59,12.01,UA,06/21/20
Plettenberg Bay,-34.05,23.37,57.87,71,21,3.36,ZA,06/21/20
Coyhaique,-45.58,-72.07,39.2,86,75,3.36,CL,06/21/20
Wenling,28.37,121.36,77.0,97,100,2.48,CN,06/21/20
Daphne,30.6,-87.9,84.2,78,75,6.93,US,06/21/20
Peniche,39.36,-9.38,66.0,91,4,8.99,PT,06/21/20
Beloha,-25.17,45.05,67.26,83,100,2.3,MG,06/21/20
Buala,-8.14,159.59,85.82,66,35,5.77,SB,06/21/20
Palmares do Sul,-30.26,-50.51,69.28,80,61,5.88,BR,06/21/20
Aden,12.78,45.04,87.58,69,8,7.9,YE,06/21/20
Taltal,-25.4,-70.48,58.42,72,23,3.58,CL,06/21/20
Urucará,-2.54,-57.76,78.22,80,65,2.82,BR,06/21/20
Sioux Lookout,50.1,-91.92,62.6,77,40,5.82,CA,06/21/20
Susner,23.95,76.08,81.64,73,63,12.95,IN,06/21/20
Sibu,2.3,111.82,80.6,88,40,4.7,MY,06/21/20
Havelock,34.88,-76.9,80.01,87,33,5.44,US,06/21/20
Geilo,60.53,8.21,53.01,89,98,0.47,NO,06/21/20
Bikin,46.82,134.26,56.91,95,99,5.08,RU,06/21/20
Périgueux,45.18,0.72,61.0,84,34,1.63,FR,06/21/20
Inuvik,68.35,-133.72,59.0,54,75,9.17,CA,06/21/20
Eyl,7.98,49.82,81.95,64,26,20.11,SO,06/21/20
Awjilah,29.11,21.29,69.53,77,0,11.56,LY,06/21/20
Sola,-13.88,167.55,78.8,100,90,11.41,VU,06/21/20
Nova Mayachka,46.6,33.23,69.01,100,97,5.93,UA,06/21/20
Haines Junction,60.75,-137.51,55.85,39,100,9.78,CA,06/21/20
Ginir,7.13,40.7,58.8,87,34,4.43,ET,06/21/20
Požarevac,44.62,21.18,62.6,93,99,10.29,RS,06/21/20
Kita,13.03,-9.49,90.05,34,97,4.85,ML,06/21/20
Okhotsk,59.38,143.3,53.46,73,100,8.61,RU,06/21/20
Port-Gentil,-0.72,8.78,77.0,83,75,11.41,GA,06/21/20
Jiayuguan City,39.82,98.3,65.07,45,15,4.21,CN,06/21/20
Gori,41.98,44.12,57.94,85,60,4.7,GE,06/21/20
Nizhniy Baskunchak,48.22,46.83,74.26,61,89,13.58,RU,06/21/20
Taksimo,56.34,114.88,61.65,68,96,2.93,RU,06/21/20
Khartoum,15.55,32.53,86.0,17,29,6.38,SD,06/21/20
Kaohsiung City,22.62,120.31,87.8,66,75,4.7,TW,06/21/20
Ambon City,-3.7,128.18,80.6,83,75,5.82,ID,06/21/20
Valavanur,11.92,79.58,84.29,60,100,7.85,IN,06/21/20
Boden,65.83,21.69,62.6,72,13,8.05,SE,06/21/20
Erzin,36.96,36.2,71.01,88,0,1.3,TR,06/21/20
Khovd,48.01,91.64,44.38,57,87,1.86,MN,06/21/20
Opportunity,47.65,-117.24,77.0,36,40,10.29,US,06/21/20
Beringovskiy,63.05,179.32,53.74,46,0,7.94,RU,06/21/20
Yeysk,46.7,38.28,69.19,88,66,10.58,RU,06/21/20
Acaraú,-2.89,-40.12,77.97,78,10,9.91,BR,06/21/20
Saint-Augustin,51.23,-58.65,53.76,74,95,12.64,CA,06/21/20
Saint Anthony,45.02,-93.22,75.0,68,75,5.82,US,06/21/20
Ruston,32.52,-92.64,77.0,73,1,3.36,US,06/21/20
Dawei,14.08,98.2,79.56,85,13,2.89,MM,06/21/20
Bilma,18.69,12.92,83.84,14,0,3.06,NE,06/21/20
Sovetskiy,61.36,63.58,44.33,86,90,8.5,RU,06/21/20
Dhangadhi,28.71,80.6,81.63,64,16,2.39,NP,06/21/20
Avilés,43.55,-5.92,64.0,93,90,3.36,ES,06/21/20
Bairiki Village,1.33,172.98,78.8,83,75,5.82,KI,06/21/20
Blackwater,-23.58,148.88,66.27,40,41,6.51,AU,06/21/20
Makīnsk,52.63,70.42,54.75,89,66,5.5,KZ,06/21/20
Rabo de Peixe,37.8,-25.58,64.4,88,75,6.38,PT,06/21/20
Srednebelaya,50.66,128.01,57.2,93,90,13.42,RU,06/21/20
Kurdzhinovo,43.99,40.96,55.04,83,96,3.27,RU,06/21/20
Gijón,43.54,-5.66,64.0,93,90,3.36,ES,06/21/20
Tres Arroyos,-38.37,-60.28,43.65,63,0,3.58,AR,06/21/20
Alvorada,-12.48,-49.12,74.12,56,16,3.27,BR,06/21/20
Rafai,4.95,23.92,68.13,96,14,3.2,CF,06/21/20
Jinxiang,22.86,115.7,85.1,79,100,12.73,CN,06/21/20
Asău,46.43,26.4,61.0,93,63,4.07,RO,06/21/20
Pitsunda,43.16,40.34,66.2,88,34,8.95,GE,06/21/20
Araguaína,-7.19,-48.21,74.89,54,1,3.96,BR,06/21/20
Chapais,49.78,-74.85,82.4,48,1,9.17,CA,06/21/20
Neryungri,56.67,124.65,59.11,60,7,5.66,RU,06/21/20
Maragogi,-9.01,-35.22,76.28,73,0,10.63,BR,06/21/20
St. George's,12.06,-61.75,82.4,83,20,23.04,GD,06/21/20
Byron Bay,-28.65,153.62,61.0,59,0,9.17,AU,06/21/20
Alyangula,-13.85,136.42,77.0,57,0,11.41,AU,06/21/20
Praia da Vitória,38.73,-27.07,68.0,77,40,10.85,PT,06/21/20
Bariloche,-41.15,-71.31,35.6,74,40,4.0,AR,06/21/20
Belle Fourche,44.67,-103.85,75.99,46,92,3.0,US,06/21/20
Sylvan Lake,52.32,-114.09,66.2,68,75,4.7,CA,06/21/20
Ventimiglia,43.79,7.6,73.99,49,3,9.17,IT,06/21/20
Aromashevo,56.86,68.64,42.12,90,0,6.11,RU,06/21/20
L'govskiy,51.63,35.28,63.07,91,64,9.4,RU,06/21/20
Ol'ga,43.74,135.29,56.77,96,100,7.54,RU,06/21/20
Nemuro,43.32,145.57,57.2,76,75,6.93,JP,06/21/20
Porto-Novo,6.5,2.6,78.8,94,40,6.93,BJ,06/21/20
Hernani,43.27,-1.98,66.2,77,90,3.36,ES,06/21/20
